red,green,blue,off,position,color
421,173,470,62,11,green
696,233,652,3,12,yellow
684,195,636,6,13,yellow
542,119,577,17,14,yellow
673,192,605,39,15,yellow
409,133,353,4,0,blue
473,249,546,4,1,blue
478,154,467,13,2,blue
613,412,668,23,3,blue
521,343,294,130,4,red
663,419,387,24,5,red
714,218,178,4,6,red
768,356,321,3,7,red
567,311,779,0,8,green
580,166,581,0,9,green
591,271,609,8,10,green
423,172,470,60,11,green
696,230,652,2,12,yellow
684,194,634,5,13,yellow
543,120,576,16,14,yellow
668,185,598,44,15,yellow
411,139,359,0,0,blue
471,251,547,5,1,blue
478,157,470,12,2,blue
613,415,670,22,3,blue
521,344,295,131,4,red
662,421,388,25,5,red
714,222,181,2,6,red
768,360,325,1,7,red
565,312,780,1,8,green
579,167,583,0,9,green
588,271,609,10,10,green
421,174,470,61,11,green
697,234,653,2,12,yellow
685,197,637,4,13,yellow
543,120,578,15,14,yellow
670,191,603,41,15,yellow
409,136,354,3,0,blue
472,251,547,4,1,blue
477,155,467,13,2,blue
611,415,667,23,3,blue
520,345,294,130,4,red
662,422,387,24,5,red
714,221,179,3,6,red
767,358,321,3,7,red
566,313,780,0,8,green
579,166,582,0,9,green
589,272,609,9,10,green
421,172,469,61,11,green
696,232,652,2,12,yellow
683,195,633,6,13,yellow
543,121,577,15,14,yellow
671,190,602,40,15,yellow
412,138,359,0,0,blue
472,250,547,5,1,blue
478,156,470,12,2,blue
614,415,670,22,3,blue
519,343,294,132,4,red
659,419,385,27,5,red
714,222,182,2,6,red
768,360,325,1,7,red
566,313,779,1,8,green
580,167,583,0,9,green
590,272,611,9,10,green
422,173,470,61,11,green
698,234,653,1,12,yellow
685,194,635,6,13,yellow
544,120,579,15,14,yellow
669,190,600,43,15,yellow
411,137,357,1,0,blue
473,251,546,4,1,blue
477,156,467,13,2,blue
615,416,670,21,3,blue
520,344,293,131,4,red
663,422,387,24,5,red
714,220,178,4,6,red
768,359,322,2,7,red
567,314,780,0,8,green
578,166,581,1,9,green
589,273,609,9,10,green
424,175,471,59,11,green
696,234,651,3,12,yellow
685,197,635,5,13,yellow
543,119,576,16,14,yellow
670,189,601,41,15,yellow
411,139,358,1,0,blue
474,251,549,3,1,blue
477,155,469,13,2,blue
611,414,668,24,3,blue
520,344,295,131,4,red
661,422,389,24,5,red
714,221,182,3,6,red
766,359,324,3,7,red
567,314,781,0,8,green
579,167,583,0,9,green
589,271,609,10,10,green
423,173,471,60,11,green
697,232,652,3,12,yellow
682,193,633,8,13,yellow
543,120,578,16,14,yellow
670,188,601,43,15,yellow
412,140,358,1,0,blue
473,251,548,4,1,blue
477,156,469,13,2,blue
615,416,670,21,3,blue
520,344,295,131,4,red
663,422,388,24,5,red
715,220,179,4,6,red
769,359,323,2,7,red
567,313,780,0,8,green
579,165,582,1,9,green
590,273,610,9,10,green
421,173,469,62,11,green
695,233,651,3,12,yellow
685,198,636,5,13,yellow
542,119,576,17,14,yellow
672,194,604,39,15,yellow
412,141,362,0,0,blue
472,245,541,4,1,blue
476,155,470,13,2,blue
614,422,672,22,3,blue
519,341,296,132,4,red
664,424,387,25,5,red
712,224,178,3,6,red
767,356,327,3,7,red
564,316,779,0,8,green
574,165,582,0,9,green
593,273,607,11,10,green
423,173,472,61,11,green
695,233,654,2,12,yellow
685,193,636,6,13,yellow
543,121,575,16,14,yellow
670,187,602,44,15,yellow
412,140,361,1,0,blue
