red,green,blue,off,position,color
485,494,179,11,14,red
662,567,279,17,15,red
488,463,116,1,0,green
489,593,184,1,1,green
506,580,119,0,2,green
649,706,339,0,3,green
689,547,458,2,4,yellow
716,554,451,0,5,yellow
728,373,267,4,6,yellow
752,468,420,6,7,yellow
577,711,436,2,8,blue
576,545,286,8,9,blue
593,593,360,5,10,blue
466,493,281,5,11,blue
608,526,308,11,12,red
610,549,272,12,13,red
483,492,178,13,14,red
667,573,283,11,15,red
488,464,117,1,0,green
490,594,184,0,1,green
506,579,119,0,2,green
650,706,339,0,3,green
687,545,456,4,4,yellow
714,552,448,2,5,yellow
728,371,266,5,6,yellow
753,468,420,6,7,yellow
576,710,435,3,8,blue
577,546,286,7,9,blue
594,594,361,4,10,blue
463,490,279,8,11,blue
609,527,309,10,12,red
609,548,272,12,13,red
483,492,178,13,14,red
668,574,286,10,15,red
487,464,116,2,0,green
489,595,184,0,1,green
506,581,119,0,2,green
650,707,339,0,3,green
686,546,455,5,4,yellow
714,553,448,2,5,yellow
730,375,267,3,6,yellow
753,469,420,6,7,yellow
576,711,435,3,8,blue
578,549,288,6,9,blue
595,597,362,3,10,blue
464,493,280,7,11,blue
608,529,309,10,12,red
610,550,272,12,13,red
482,493,177,14,14,red
663,571,281,15,15,red
483,462,114,2,0,green
502,593,186,1,1,green
511,580,121,1,2,green
650,706,340,0,3,green
686,544,457,4,4,yellow
715,550,447,2,5,yellow
732,374,269,2,6,yellow
761,473,420,7,7,yellow
579,708,432,3,8,blue
579,544,284,7,9,blue
596,593,363,5,10,blue
470,499,286,5,11,blue
610,528,310,10,12,red
609,544,271,14,13,red
484,488,181,13,14,red
667,571,280,15,15,red
482,463,114,1,0,green
499,593,185,2,1,green
509,581,120,0,2,green
647,706,339,0,3,green
682,542,455,6,4,yellow
715,552,449,0,5,yellow
732,375,270,1,6,yellow
757,472,419,8,7,yellow
576,708,432,3,8,blue
576,545,283,7,9,blue
596,594,364,4,10,blue
467,499,286,5,11,blue
606,527,309,11,12,red
609,545,272,13,13,red
482,488,181,13,14,red
665,571,279,15,15,red
482,463,114,1,0,green
500,594,187,1,1,green
509,581,120,0,2,green
647,707,339,0,3,green
683,543,456,5,4,yellow
714,551,448,1,5,yellow
731,373,269,2,6,yellow
757,472,419,8,7,yellow
574,707,431,4,8,blue
577,545,284,6,9,blue
594,592,361,6,10,blue
467,499,286,5,11,blue
606,527,310,11,12,red
609,546,272,12,13,red
483,489,183,12,14,red
667,573,283,13,15,red
482,464,115,0,0,green
498,591,185,3,1,green
509,581,120,0,2,green
648,708,339,0,3,green
683,542,455,6,4,yellow
714,550,448,1,5,yellow
730,373,269,2,6,yellow
759,473,420,7,7,yellow
577,710,433,2,8,blue
577,545,285,6,9,blue
596,595,364,3,10,blue
468,500,287,4,11,blue
604,525,307,13,12,red
609,546,272,12,13,red
483,489,182,12,14,red
663,569,276,18,15,red
483,464,116,0,0,green
500,593,185,1,1,green
509,581,120,0,2,green
647,707,340,0,3,green
685,544,457,4,4,yellow
714,551,448,1,5,yellow
728,371,268,4,6,yellow
759,473,420,7,7,yellow
576,708,432,3,8,blue
577,544,283,7,9,blue
595,594,363,4,10,blue
467,499,287,5,11,blue
608,529,311,9,12,red
609,546,272,12,13,red
481,487,182,14,14,red
670,575,283,11,15,red
481,464,114,1,0,green
491,591,183,3,1,green
524,581,122,0,2,green
648,709,342,0,3,green
686,545,455,5,4,yellow
713,550,448,2,5,yellow
729,371,268,3,6,yellow
761,474,421,6,7,yellow
576,711,437,4,8,blue
575,542,282,7,9,blue
594,592,359,4,10,blue
468,499,287,5,11,blue
608,527,308,13,12,red
607,546,271,13,13,red
481,486,183,12,14,red
664,569,278,16,15,red
481,464,115,1,0,green
491,592,182,2,1,green
524,581,122,0,2,green
647,709,343,0,3,green
687,546,457,4,4,yellow
715,552,450,0,5,yellow
725,369,265,5,6,yellow
761,474,421,6,7,yellow
578,713,439,2,8,blue
574,542,281,8,9,blue
593,590,358,5,10,blue
468,499,287,5,11,blue
610,529,309,11,12,red
608,547,272,12,13,red
480,485,183,13,14,red
670,575,286,10,15,red
480,464,114,1,0,green
494,594,186,0,1,green
524,581,122,0,2,green
648,708,342,0,3,green
687,546,457,4,4,yellow
713,551,448,2,5,yellow
725,368,263,6,6,yellow
761,474,422,6,7,yellow
577,712,438,3,8,blue
576,543,282,7,9,blue
593,591,358,5,10,blue
466,497,285,7,11,blue
611,530,311,10,12,red
607,547,272,12,13,red
480,485,183,13,14,red
670,575,287,10,15,red
481,465,114,0,0,green
492,592,184,2,1,green
524,581,122,0,2,green
648,709,342,0,3,green
687,546,456,4,4,yellow
714,551,449,1,5,yellow
728,370,267,3,6,yellow
761,474,422,6,7,yellow
577,713,439,3,8,blue
573,541,280,9,9,blue
594,592,359,4,10,blue
468,499,287,5,11,blue
610,529,310,11,12,red
608,547,272,12,13,red
480,485,182,13,14,red
664,570,281,15,15,red
482,465,115,0,0,green
492,591,182,2,1,green
524,581,122,0,2,green
647,709,343,0,3,green
688,547,457,3,4,yellow
713,552,449,1,5,yellow
727,368,265,5,6,yellow
760,473,421,7,7,yellow
577,712,438,3,8,blue
576,542,282,7,9,blue
594,590,358,5,10,blue
468,499,287,5,11,blue
611,530,310,10,12,red
608,547,272,12,13,red
479,484,183,14,14,red
668,573,282,12,15,red
626,395,112,1,0,red
665,506,181,1,1,red
693,492,118,0,2,red
804,644,315,0,3,red
585,472,453,2,4,green
622,476,442,0,5,green
574,287,259,4,6,green
639,411,415,5,7,green
702,769,376,3,8,yellow
696,619,253,9,9,yellow
703,660,334,5,10,yellow
614,583,245,5,11,yellow
534,530,336,10,12,blue
520,547,302,11,13,blue
387,488,220,11,14,blue
610,573,291,10,15,blue
621,391,111,4,0,red
662,506,181,1,1,red
691,491,118,0,2,red
805,643,314,0,3,red
580,470,452,4,4,green
616,474,441,2,5,green
575,291,262,0,6,green
637,411,416,4,7,green
696,765,374,6,8,yellow
696,620,255,7,9,yellow
699,660,333,6,10,yellow
609,580,243,7,11,yellow
532,531,337,9,12,blue
517,547,302,11,13,blue
384,488,220,11,14,blue
606,572,288,11,15,blue
625,396,113,0,0,red
660,504,178,3,1,red
691,492,119,0,2,red
804,644,314,0,3,red
580,470,452,4,4,green
618,475,441,1,5,green
571,288,260,3,6,green
638,412,416,4,7,green
699,768,376,3,8,yellow
694,619,254,9,9,yellow
700,660,334,5,10,yellow
612,583,245,4,11,yellow
530,529,335,11,12,blue
518,548,303,10,13,blue
384,488,219,11,14,blue
608,573,291,10,15,blue
623,396,114,1,0,red
662,508,180,1,1,red
691,493,118,0,2,red
804,645,315,0,3,red
581,472,453,3,4,green
617,477,441,1,5,green
573,290,261,2,6,green
637,412,415,5,7,green
696,767,375,5,8,yellow
697,623,256,6,9,yellow
701,662,334,5,10,yellow
608,581,242,8,11,yellow
532,533,337,9,12,blue
517,549,302,11,13,blue
383,488,220,12,14,blue
605,572,289,12,15,blue
625,396,113,0,0,red
660,504,179,3,1,red
691,492,118,0,2,red
804,643,315,0,3,red
581,471,453,3,4,green
618,475,441,1,5,green
571,288,260,3,6,green
637,410,415,5,7,green
698,766,375,5,8,yellow
694,619,254,9,9,yellow
700,661,334,5,10,yellow
611,582,244,5,11,yellow
532,531,337,9,12,blue
517,547,302,11,13,blue
384,488,221,11,14,blue
606,572,288,11,15,blue
631,404,112,1,0,red
659,513,179,3,1,red
696,491,120,0,2,red
800,636,335,0,3,red
583,470,454,5,4,green
616,475,446,2,5,green
580,293,261,3,6,green
639,414,417,5,7,green
700,767,378,4,8,yellow
696,622,256,8,9,yellow
706,663,336,5,10,yellow
612,585,248,5,11,yellow
535,533,341,9,12,blue
520,553,308,11,13,blue
388,491,221,10,14,blue
609,573,291,12,15,blue
629,400,111,2,0,red
660,512,177,1,1,red
694,488,120,0,2,red
798,634,333,0,3,red
581,469,452,4,4,green
613,473,443,2,5,green
