red,green,blue,off,position,color
572,268,598,4,10,green
422,184,476,46,11,green
669,212,620,3,12,yellow
665,181,609,4,13,yellow
576,125,608,13,14,yellow
711,189,641,36,15,yellow
405,122,356,2,0,blue
465,225,534,3,1,blue
476,149,467,6,2,blue
625,431,681,14,3,blue
577,373,320,106,4,red
695,432,391,16,5,red
734,219,168,1,6,red
758,355,317,2,7,red
512,287,760,0,8,green
540,155,557,0,9,green
572,268,598,4,10,green
422,183,476,46,11,green
666,209,617,5,12,yellow
664,180,608,5,13,yellow
574,124,607,14,14,yellow
707,191,638,39,15,yellow
407,124,358,0,0,blue
467,225,535,2,1,blue
477,150,468,5,2,blue
625,432,682,13,3,blue
577,372,319,107,4,red
697,433,392,15,5,red
734,218,168,2,6,red
757,354,315,4,7,red
513,286,760,0,8,green
541,155,556,0,9,green
572,266,597,5,10,green
423,184,477,45,11,green
670,211,621,2,12,yellow
665,180,609,4,13,yellow
576,127,607,13,14,yellow
712,192,643,34,15,yellow
407,124,358,0,0,blue
465,223,533,4,1,blue
476,148,466,6,2,blue
622,428,679,16,3,blue
577,372,319,107,4,red
696,431,391,16,5,red
735,219,169,0,6,red
758,356,317,2,7,red
512,287,759,0,8,green
541,154,556,0,9,green
573,268,598,4,10,green
422,183,476,46,11,green
671,212,622,1,12,yellow
664,179,608,5,13,yellow
576,126,607,13,14,yellow
709,194,639,37,15,yellow
406,125,357,0,0,blue
465,223,534,3,1,blue
477,149,467,5,2,blue
623,431,679,14,3,blue
576,372,320,107,4,red
694,431,390,17,5,red
734,217,167,2,6,red
761,357,320,0,7,red
512,287,760,0,8,green
541,155,556,0,9,green
570,265,596,7,10,green
422,183,476,46,11,green
669,210,621,3,12,yellow
664,179,608,5,13,yellow
577,126,608,12,14,yellow
713,197,644,32,15,yellow
407,125,357,0,0,blue
466,224,534,3,1,blue
476,148,467,6,2,blue
626,432,681,12,3,blue
574,370,318,109,4,red
692,429,388,19,5,red
733,218,167,2,6,red
759,356,317,2,7,red
513,286,759,0,8,green
541,155,556,0,9,green
571,266,596,6,10,green
422,183,477,46,11,green
672,213,622,1,12,yellow
665,179,609,5,13,yellow
578,126,609,12,14,yellow
708,188,638,38,15,yellow
407,125,357,0,0,blue
468,226,536,1,1,blue
476,149,467,6,2,blue
625,431,681,14,3,blue
574,371,319,108,4,red
693,430,389,18,5,red
733,218,167,2,6,red
759,358,318,1,7,red
513,287,759,0,8,green
541,155,556,0,9,green
572,267,597,5,10,green
423,183,477,45,11,green
671,211,622,2,12,yellow
663,178,607,6,13,yellow
577,125,608,13,14,yellow
711,195,641,35,15,yellow
644,91,534,1,0,yellow
686,185,670,5,1,yellow
710,124,635,9,2,yellow
793,351,761,17,3,yellow
476,397,322,102,4,blue
590,467,391,12,5,blue
507,273,173,1,6,blue
578,380,312,2,7,blue
706,277,732,0,8,red
722,152,519,0,9,red
707,267,570,7,10,red
570,173,455,50,11,red
485,198,495,1,12,green
480,180,510,2,13,green
355,109,477,10,14,green
593,191,580,27,15,green
644,91,533,2,0,yellow
688,184,671,4,1,yellow
710,125,636,8,2,yellow
789,348,758,20,3,yellow
476,398,322,102,4,blue
589,466,390,13,5,blue
507,272,175,1,6,blue
577,379,312,3,7,blue
705,278,732,0,8,red
722,154,519,0,9,red
704,266,570,8,10,red
568,171,454,51,11,red
483,195,494,3,12,green
480,178,511,2,13,green
355,110,478,9,14,green
590,185,576,31,15,green
644,90,533,2,0,yellow
690,186,673,3,1,yellow
709,122,635,10,2,yellow
792,351,761,17,3,yellow
476,397,322,102,4,blue
590,467,390,13,5,blue
506,272,172,2,6,blue
580,381,314,0,7,blue
706,277,733,0,8,red
721,151,518,1,9,red
705,267,569,8,10,red
568,171,453,52,11,red
485,198,496,1,12,green
479,178,510,3,13,green
353,107,475,12,14,green
593,190,579,28,15,green
643,89,532,3,0,yellow
688,185,672,4,1,yellow
708,123,634,10,2,yellow
790,351,759,18,3,yellow
477,398,324,101,4,blue
590,467,391,12,5,blue
507,273,173,1,6,blue
578,381,314,1,7,blue
705,277,733,0,8,red
722,152,519,0,9,red
705,266,570,8,10,red
568,171,453,52,11,red
485,197,496,1,12,green
479,178,510,3,13,green
355,111,477,10,14,green
593,189,579,28,15,green
645,94,534,0,0,yellow
686,184,671,5,1,yellow
710,123,635,9,2,yellow
792,350,760,18,3,yellow
476,397,322,102,4,blue
589,466,390,13,5,blue
508,274,174,0,6,blue
578,380,313,2,7,blue
706,278,731,0,8,red
722,154,519,0,9,red
704,266,568,9,10,red
568,172,455,50,11,red
